17513DBiopsy_17513DC10_17513DSC105_CallableLoci_CALLABLE	1915892864
17513DBiopsy_17513DC3_17513DSC33_CallableLoci_CALLABLE	1633429010
C30913DBiopsy_C30913DC10_C30913DSC109_CallableLoci_CALLABLE	1613568163
C30913DBiopsy_C30913DC12_C30913DSC125_CallableLoci_CALLABLE	1765097010
EWSEVBULK_EWSEVCA1_EWSEVSCA1_CallableLoci_CALLABLE	2560647952
EWSEVBULK_EWSEVCA3_EWSEVSCA3_CallableLoci_CALLABLE	2568349174
EWSEVBULK_EWSEVCB3_EWSEVSCB3_CallableLoci_CALLABLE	2551930984
EWSEVBULK_EWSEVCLONEHA1_EWSEVCLONEHA1SUBCLONE3_CallableLoci_CALLABLE	2579182296
MASEVREFERENCE_MASEVCLONEH2_MASEVCLONEH2SUBCLONE2_CallableLoci_CALLABLE	2604290673
MASEVREFERENCE_MASEVCLONEN4_MASEVCLONEN4SUBCLONE1_CallableLoci_CALLABLE	2598980206
STE0072Blood_STE0072C12_STE0072SC12A_CallableLoci_CALLABLE	2106570146
STE0072Blood_STE0072C23_STE0072SC23B_CallableLoci_CALLABLE	2086174348
STE0072Blood_STE0072C31_STE0072SC31A_CallableLoci_CALLABLE	1992190447
STE0076Blood_STE0076C12_STE0076SC12C_CallableLoci_CALLABLE	1840324704
STE0076Blood_STE0076C23_STE0076SC23A_CallableLoci_CALLABLE	2016946917
STE0076Blood_STE0076C32_STE0076SC32A_CallableLoci_CALLABLE	1804379389
